,pca,pls
196509,-2.533490970503936,-0.4501878494999675
196510,-2.316870921288106,-0.46734893888093587
196511,-1.809660279708101,-0.15831396509836992
196512,-1.85256349901029,-0.18021149365758904
196601,-2.153616459285926,-0.31216774336192976
196602,-1.5990508940875794,0.7236087103312505
196603,-1.455697347922335,0.44506922488626466
196604,-1.1358890493043663,0.7460871309288929
196605,-1.8267686190246133,-0.025753929142585563
196606,-1.1018251567921697,0.4901776564978081
196607,-1.3609743556863882,0.20828496590382223
196608,-1.4870013440843217,-0.048142366866637976
196609,-1.7517431098400627,-0.08487888487724704
196610,-2.2415870823284822,-0.43798692948887286
196611,-1.8638988230323932,-0.12618719367596698
196612,-1.654511413970402,0.05042139734620976
196701,-0.7749652405715054,1.0912788595354201
196702,-1.3304987954417493,0.28446096249638286
196703,-1.1261248258175238,0.7262260695763346
196704,-1.1482088607658392,0.5175231601703281
196705,-0.788973513678858,0.8474774146115396
196706,-0.19441926311938573,1.5387879245967797
196707,-0.09488178351506389,1.3852103576479364
196708,0.451692216424638,1.8786066594610662
196709,0.28278768811186655,1.4440896744706113
196710,0.5118000809674512,1.305828375242477
196711,0.9939027316606927,1.7289651697105968
196712,2.405108301502166,3.093481107161239
196801,1.5823018326815987,1.9699806406186364
196802,1.0047577233991456,0.9823576884787717
196803,1.1361408293682802,1.2459665632914383
196804,1.5953978818979933,1.8283051764242848
196805,2.8239746299782413,2.9610539236807227
196806,2.3056776769074525,2.4053555654078242
196807,2.2515768884922984,2.03595308796923
196808,1.76156259968775,1.6293901538718578
196809,2.4215119788104422,2.212181088781125
196810,2.590728756000115,1.537978752220313
196811,2.892967753616228,1.9711220028379142
196812,3.6265954001624214,1.7829858778986072
196901,3.4677898165741796,1.6480809983284317
196902,2.5330536513292254,0.9017584859594256
196903,3.0780198164705275,0.9590293020236166
196904,2.8615111811783,1.0751560546995527
196905,2.6778141748525544,0.9911635380470716
196906,2.1773119572338295,0.3412328543932306
196907,0.9154306863150237,-0.30032608658698834
196908,1.2399947639822158,0.3780724413200197
196909,1.8700018098506033,0.28793800045656115
196910,2.5766106039537093,0.7126012014248074
196911,2.194294653757243,0.6917815438996144
196912,1.8453646874235028,0.043575797574957
197001,1.9612814924130229,0.38276522466214885
197002,0.7924003447015943,-0.08735035919417522
197003,0.7347027821325162,-0.36711310088375637
197004,0.16785343996052818,-0.7832092763207615
197005,-0.8606755097446968,-1.3921391537862808
197006,-0.21188403544451925,-0.39104038180848966
197007,-0.33302353652587535,-0.6213905419256106
197008,-0.9151114061472104,-0.8686958877147036
197009,-0.2695500951909881,-0.3466713057887282
197010,-0.6646647596837021,-0.4372247406787936
197011,-0.5984315866575023,-0.17220581716915784
197012,-0.862611153933019,-0.49229084184590877
197101,-0.4274299050956775,0.09412566883604978
197102,-0.31694485681325807,0.4488247487535115
197103,-0.34378961719678064,0.02941396627547377
197104,-0.1964532887743341,0.6520479915389459
197105,-0.7548945397389982,0.15860507103654348
197106,-0.8354388004912497,0.27770320937351006
197107,-1.2087867961587442,-0.41591484780883115
197108,-0.5911862122306535,0.7155745389140357
197109,-1.097731320692718,-0.04045278944772979
197110,-1.073530749559884,-0.051263177917618474
197111,-0.7433925847554967,0.18888402355328526
197112,-0.6241109069740968,0.34373484147301114
197201,-0.6189658340190336,0.17355353184861166
197202,-0.7395182059166425,0.4415686660802285
197203,-0.31005839354141035,0.5037279282537852
197204,-0.5819319374388316,0.41288134261328147
197205,-1.4068949767460701,-0.08014592262596387
197206,-0.9102675722639665,0.11878800606810425
197207,-1.9163678494741494,-0.3959713109314936
197208,-1.350910593164794,0.20752735093203434
197209,-1.8793001307046855,-0.2442685396317491
197210,-1.9318443688097116,-0.47535510353656074
197211,-1.7738185539669802,-0.3287819096931299
197212,-1.704065245569199,-0.497810745562664
197301,-2.1825394230745463,-0.5610758531554109
197302,-2.250242160708837,-0.8409866429988057
197303,-2.571267501242183,-1.0948679969409012
197304,-2.2873834160692517,-0.8032839978050051
197305,-2.8107645212992654,-1.1813050506797826
197306,-3.133222008105708,-1.2068949709937726
197307,-2.9677646708891987,-1.0820285423440295
197308,-2.7722059490566777,-0.8768315486238957
197309,-2.4747064000324404,-0.43630161044024895
197310,-2.9127611445370363,-1.0591315529644425
197311,-3.126817064602404,-0.8237444582013073
197402,-2.396548408500109,-0.6981906958710643
197403,-2.659623322070825,-1.1293259758246443
197406,-2.5423977557375874,-0.6705552469249428
197501,-2.4411427768187455,-0.4902543078768432
197502,-2.64661785407514,-0.27395348932207253
197506,-2.663685246588658,-0.2978539080179532
197507,-2.3323069746707885,-0.07246561947388452
197508,-2.6792168809520978,-0.3948634888891841
197509,-2.6731562234246184,-0.4286835176834981
197510,-2.50101904258624,-0.37090048253001295
197511,-2.7203355300795145,-0.38656644277977137
197512,-2.866333037823745,-0.5857583326186532
197601,-2.351616923277373,-0.28565227732403076
197602,-1.9566586805191122,0.182497249617809
197603,-2.2760090180584207,-0.11642407004649635
197605,-2.694899549310976,-0.46663103743204626
197606,-2.568833102077793,-0.3576303638333477
197607,-2.4532934867363374,-0.19323261875428244
197608,-2.7919502847532405,-0.46599182953386264
197609,-2.734054333465825,-0.4407454636822167
197610,-2.894773574518019,-0.6129697806889375
197611,-2.8888258449534887,-0.5187572182737584
197612,-2.5963447286327064,-0.3927624090921146
197701,-2.424023219095039,-0.42836095236181115
197702,-1.9060981113234303,0.33321045256739934
197703,-1.7567397018549362,0.3395895503934145
197704,-0.6458890609687005,1.8107003984527563
197705,-2.3664103431479546,-0.3620642662303907
197706,-2.2140508685541582,-0.3537790123470447
197707,-1.9975627459216958,-0.015884852659251214
197708,-1.875178178205876,0.13918407490480755
197709,-1.9944887241397533,-0.10364731135415195
197710,-1.825719743297288,-0.02791244586318864
197711,-1.7724139043010043,-0.021824829619305652
197712,-1.7090819138470403,-0.11599938101797391
197801,-1.0964185079255342,0.8203534032350479
197802,-1.9931773565778934,-0.5370190038879327
197803,-1.8974977118105951,-0.5837514960698645
197804,-0.6290596201354676,1.3141750768447074
197805,-0.4518166795494763,1.8945936416252875
197806,-0.5475552836539034,1.66621781826827
197807,-1.4151748534767845,0.6478861350086412
197808,-1.3946259670649337,0.5914994858584819
197809,-1.1444360244982836,0.9528613190234851
197810,-1.9141314070061377,0.045598657614472904
197811,-1.9364906003835471,0.025156797126026142
197812,-1.9278373818761707,-0.011945477568599316
197901,-1.710100618489965,0.23950150196973913
197902,-1.859609113210749,0.12598708710908924
197903,-1.5424035634590645,0.4388153403757661
197904,-1.170719651379265,0.8074443508233284
197905,-0.5106201444648157,1.8204072329239809
197906,-0.7206079947280598,1.5698867307270108
197907,-1.1364870080294243,0.8013309239904925
197908,-1.4049936030961878,0.26813311915108123
197909,-1.0003034242088455,0.8230375211648882
197910,-1.3246930252775087,0.41861299654275963
197911,-0.8967658357569701,0.9683652441245569
197912,-0.46189790145906245,1.0085420761588764
198001,0.3347386862424364,2.176490593613244
198002,0.9596327853691358,3.2378495426252227
198003,-0.5507204531621508,0.9250442844556085
198004,-0.474444592464496,1.1600595516976582
198005,-0.4696395404974687,0.7385321539299105
198006,-0.3937962562916007,0.6470555970907892
198007,-0.08179027801644029,0.7582509125049632
198008,0.5340866542880996,1.7662390937509458
198009,0.3163967679477105,1.4654823709749238
198010,1.2157545654205346,2.4126274269400447
198011,0.6826943442874391,1.7730009981849641
198012,1.5232261216970189,2.164498433321274
198101,0.4376656528457443,1.2199119516377777
198102,0.8794547405797515,1.7323269655792441
198103,1.1880945474776803,1.5104063047463274
198104,1.2633003407684549,1.2346642502569796
198105,1.166790812855024,1.2153101510016728
198106,1.4920926809595456,1.0279902885915329
198107,0.7767346186819644,0.9175072726242142
198108,0.41852594119075864,0.4777972126903837
198109,0.09414853185477351,0.20825635735012438
198110,0.34804302994003716,0.4704354222007048
198111,0.21014043180608055,0.39528373096666336
198112,0.36613154668527653,0.3737653386181453
198201,-0.022474569906519398,0.3172214975994405
198202,0.0621588322097412,0.09539350753116771
198203,0.07654892808078312,0.011818686448799798
198204,0.48990523284783577,0.5854322797474375
198205,0.14841665466642737,0.10684642699658642
198206,0.6627257782788452,0.6850026078771481
198207,-0.013420973527036336,-0.04968721670437226
198208,-0.12515197313308615,-0.02273074459955382
198209,0.04005298810927896,0.1951734503135676
198210,0.6578071367443503,0.7066148992630717
198211,1.7499108796270364,1.6188401497182037
198212,1.9048713594535132,1.0542330874776324
198301,1.4883119511043343,1.0960948374120625
198302,1.642962220850942,0.9997073137135954
198303,2.01811940258379,1.4160851002284405
198304,1.404712285457673,1.1626577461659178
198305,2.255682502167674,1.7187435755516551
198306,2.8293619652473123,1.965967185316729
198307,2.810311821287954,1.4679031475119078
198308,2.5086813437783833,1.1004000861468188
198309,2.0969323060995304,0.8771999052252591
198310,2.2450114169886644,0.5490815676226358
198311,2.181436697282959,0.5599380021841391
198312,2.6802378460803213,0.6509207199753565
198401,2.0760718089594117,0.4663775245922993
198402,2.0801151523052366,0.4200199234361692
198403,1.7898259699793326,0.44573561097507336
198404,1.3114242265176506,0.4519054838447003
198405,1.578034650032606,0.39965392226833263
198406,1.422681399970519,0.45803577166164894
198407,1.3030380511769566,0.5692461482648421
198408,1.3130551537555073,0.6072626266402699
198409,0.9010165483579767,0.4785718807326843
198410,1.0836546656333015,0.7838966811716205
198411,1.0741626264226478,0.6822357072239327
198412,0.9072083348431429,0.6644751251009355
198501,0.9974545296676144,0.7295172714254553
198502,0.8777183548499878,0.8832143005174464
198503,1.2961045211475137,1.2134784070457916
198504,0.8297158039597625,0.6339134098412764
198505,1.0520150920681628,1.0054241497815657
198506,0.8479564486665007,0.7941984488066186
198507,1.041637039604255,0.8559602558698344
198508,0.9769033885414512,0.5665700932069963
198509,1.0490372783707154,0.7518827987993054
198510,1.1676411691677733,0.6578854846223383
198511,0.8971159168091455,0.6608872255011357
198512,0.7708938567496534,0.5412784857247092
198601,0.8184937266408608,0.514610247474425
198602,1.0559958474561701,0.8697114348263575
198603,1.5535288880854807,1.3330246260820733
198604,0.9511704291186307,0.986181145678766
198605,1.7595348752747302,1.2529401196651655
198606,2.2527729438084556,1.4763830297215494
198607,1.6997924783950018,1.1078578722708965
198608,1.6670806232052142,1.0214546078134157
198609,1.3636184681448988,0.9936084286749352
198610,1.6822838960551885,0.8155462426598914
198611,1.8975178180935095,0.8754744692444036
198612,2.169851043248261,0.9443585655429942
198701,0.8640610466127827,0.7683684609389032
198702,1.2068268573985361,0.9483125775457972
198703,1.5129095512750397,1.1443601509296275
198704,0.9048687321754325,0.8350311378154295
198705,0.6706201177750318,0.7604946956021101
198706,1.2753268579587385,0.9965299676959994
198707,1.28817142092125,1.097336584905666
198708,0.6933895249555674,0.8756425859521131
198709,0.7080449318525157,0.8405240757534277
198710,-0.21996500315976086,0.45448192346401917
198711,-0.25787342213109626,0.4640302987493115
198712,-0.8600948777676791,0.29919642787020684
198801,-0.9228911064374752,0.3094933234994389
198802,-0.6634153087855366,0.6089643721777868
198803,-0.656146220267813,0.44463246997292494
198804,-0.5604191443217825,0.6556249621554495
198805,-0.527923800655818,0.586540629997035
198806,-0.24157373722463457,0.8020587846904612
198807,-0.5060489992454883,0.5370837997817575
198808,-0.616858312676394,0.5100570460866274
198809,-0.8867715150223371,0.4415068679735473
198810,-0.5555543902394963,0.6645863042974248
198811,-0.9729653686077049,0.3755251861024247
198812,-0.7608374513780596,0.48519848390316156
198901,-0.9212157623987826,0.35643560058673873
198902,-0.6066985314609724,0.7135640953603147
198903,-0.507413363750041,1.0228591683361303
198904,-0.42920673381999336,0.8071875926280841
198905,-0.13411618022126057,0.9649528213585518
198906,-0.359630162725344,0.6326886231761433
198907,-0.5161676048511183,0.528269478127245
198908,-0.07679582007202486,1.232286668121486
198909,-0.28400096370695815,0.8158815020550754
198910,-0.26338192415935946,0.7773637312973534
198911,-0.057622659132333165,0.7213199029833479
198912,-0.24352312994538405,0.4452250237544725
199001,-0.3095397747426603,0.6948382992336574
199002,-0.24825844663007873,0.7272619932850226
199003,-0.025896626615044743,0.8388897745367255
199004,-0.11615373335891824,0.5407641404882766
199005,0.02013394755082151,1.0100627678051277
199006,0.058923879119024886,0.9121702965937992
199007,-0.31512482130975356,0.5364783699911561
199008,-0.629159551370288,0.3340521752033374
199009,-0.6255627395867464,0.7514554526642486
199010,-1.0993510294372149,0.05506767224764497
199011,-1.0015415382975426,0.1854442894998285
199012,-0.6942311624490369,0.39240812465600394
199101,-0.1115678784957192,1.2998039514626472
199102,-0.1915938041184865,0.9466777454674504
199103,-0.04895286665594821,0.9690801668515677
199104,-0.05621263522581789,0.7037760300376161
199105,0.048949135027829854,0.7703303069142778
199106,0.3252095495046573,0.7134791029172565
199107,0.10092473099031203,0.7008908184518969
199108,0.17044627513721022,0.841241984767032
199109,0.10816287904677255,0.740146041607443
199110,0.6752596192215897,0.8597435174595958
199111,0.9389307093186994,0.8977146770642072
199112,0.843911910455643,0.8340873261412293
199201,1.099633848394052,1.0776740609207756
199202,1.350628828363528,1.111726997015457
199203,1.6563166061261587,1.0268862971936077
199204,0.39427837355876094,0.36037568375487133
199205,0.4367223187803054,0.38967169284116293
199206,0.38575278787255474,0.26722017563265527
199207,0.15572544335695543,0.2569534777395821
199208,0.21808841756804126,0.27854793832453956
199209,0.10627202831497903,0.3495175842844874
199210,0.7862329372542246,0.6870501553979853
199211,0.5867496658252271,0.7095916862278256
199212,1.1778949719810523,0.9191113939804791
199301,0.521035773658785,0.6061564082102457
199302,0.8368585996860921,0.791593097528241
199303,1.436846337495087,1.008099310456428
199304,0.4332366174952997,0.5912413682312456
199305,0.8853691651372307,0.921161026916534
199306,1.1573620208423956,1.0685789982667693
199307,1.0987566113043798,0.8998244999738687
199308,1.0160985369215503,0.9197973802732318
199309,1.075924538516609,1.069589787275423
199310,1.3565181587830544,1.1219560393077594
199311,1.6193179170890262,1.0647791714097514
199312,1.5870275703709984,1.1035846028565075
